GeoAreaName;GeoAreaCode;SeriesDescription;SeriesCode;TimePeriod;Value;Source;Location;Sex;TypeofProduct;GroundsOfDiscrimination;Units
Albania;ALB;Gini index;SI.POV.GINI;1996;27.0;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2002;31.7;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2005;30.6;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2008;30.0;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2012;29.0;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2014;34.6;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2015;32.8;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2016;33.7;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2017;33.1;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2018;30.1;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2019;30.1;World Bank;;;;;INDEX
Albania;ALB;Gini index;SI.POV.GINI;2020;29.4;World Bank;;;;;INDEX
Algeria;DZA;Gini index;SI.POV.GINI;1988;37.4;World Bank;;;;;INDEX
Algeria;DZA;Gini index;SI.POV.GINI;1995;35.3;World Bank;;;;;INDEX
Algeria;DZA;Gini index;SI.POV.GINI;2011;27.6;World Bank;;;;;INDEX
Angola;AGO;Gini index;SI.POV.GINI;2000;51.9;World Bank;;;;;INDEX
Angola;AGO;Gini index;SI.POV.GINI;2008;42.7;World Bank;;;;;INDEX
Angola;AGO;Gini index;SI.POV.GINI;2018;51.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1980;40.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1986;42.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1987;45.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1991;46.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1992;45.5;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1993;44.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1994;45.9;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1995;48.9;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1996;49.5;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1997;49.1;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1998;50.7;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;1999;49.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2000;51.0;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2001;53.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2002;53.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2003;51.0;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2004;48.5;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2005;47.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2006;46.4;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2007;46.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2008;45.0;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2009;43.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2010;43.7;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2011;42.7;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2012;41.4;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2013;41.1;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2014;41.8;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2016;42.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2017;41.4;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2018;41.7;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2019;43.3;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2020;42.7;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2021;42.4;World Bank;;;;;INDEX
Argentina;ARG;Gini index;SI.POV.GINI;2022;40.7;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;1999;36.2;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2001;35.4;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2002;34.8;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2003;33.0;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2004;37.5;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2005;36.0;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2006;29.7;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2007;31.2;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2008;29.2;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2009;28.0;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2010;30.0;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2011;29.4;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2012;29.6;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2013;30.6;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2014;31.5;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2015;32.4;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2016;32.5;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2017;33.6;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2018;34.4;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2019;30.0;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2020;25.1;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2021;27.9;World Bank;;;;;INDEX
Armenia;ARM;Gini index;SI.POV.GINI;2022;27.9;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;1981;31.3;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;1985;32.5;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;1989;33.2;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;1995;32.6;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2001;33.5;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2003;33.5;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2004;33.1;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2008;35.4;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2010;34.7;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2014;34.4;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2016;33.7;World Bank;;;;;INDEX
Australia;AUS;Gini index;SI.POV.GINI;2018;34.3;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1994;30.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1995;29.9;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1996;29.3;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1997;29.1;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1998;31.3;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;1999;29.7;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2000;29.0;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2003;29.5;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2004;29.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2005;28.7;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2006;29.6;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2007;30.6;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2008;30.4;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2009;31.5;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2010;30.3;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2011;30.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2012;30.5;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2013;30.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2014;30.5;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2015;30.5;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2016;30.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2017;29.7;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2018;30.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2019;30.2;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2020;29.8;World Bank;;;;;INDEX
Austria;AUT;Gini index;SI.POV.GINI;2021;30.7;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;1995;34.6;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;2001;36.5;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;2002;25.3;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;2003;26.8;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;2004;26.6;World Bank;;;;;INDEX
Azerbaijan;AZE;Gini index;SI.POV.GINI;2005;26.6;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;1983;25.9;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;1985;26.9;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;1988;28.8;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;1991;27.6;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;1995;32.9;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;2000;33.4;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;2005;33.2;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;2010;32.1;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;2016;32.4;World Bank;;;;;INDEX
Bangladesh;BGD;Gini index;SI.POV.GINI;2022;33.4;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;1998;32.0;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;1999;31.7;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2000;31.2;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2001;30.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2002;30.3;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2003;28.8;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2004;26.5;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2005;27.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2006;28.3;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2007;29.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2008;27.8;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2009;27.7;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2010;28.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2011;27.2;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2012;26.5;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2013;26.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2014;27.2;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2015;25.6;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2016;25.3;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2017;25.4;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2018;25.2;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2019;25.3;World Bank;;;;;INDEX
Belarus;BLR;Gini index;SI.POV.GINI;2020;24.4;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;1985;25.2;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;1988;25.7;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;1992;24.9;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;1995;28.4;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;1997;26.8;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2000;33.1;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2003;28.1;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2004;30.5;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2005;29.3;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2006;28.1;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2007;29.2;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2008;28.4;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2009;28.6;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2010;28.4;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2011;28.1;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2012;27.5;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2013;27.7;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2014;28.1;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2015;27.7;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2016;27.6;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2017;27.4;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2018;27.2;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2019;27.2;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2020;26.0;World Bank;;;;;INDEX
Belgium;BEL;Gini index;SI.POV.GINI;2021;26.6;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1993;60.2;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1994;60.9;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1996;56.5;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1997;60.4;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1998;54.9;World Bank;;;;;INDEX
Belize;BLZ;Gini index;SI.POV.GINI;1999;53.2;World Bank;;;;;INDEX
Benin;BEN;Gini index;SI.POV.GINI;2003;38.6;World Bank;;;;;INDEX
Benin;BEN;Gini index;SI.POV.GINI;2011;43.4;World Bank;;;;;INDEX
Benin;BEN;Gini index;SI.POV.GINI;2015;47.6;World Bank;;;;;INDEX
Benin;BEN;Gini index;SI.POV.GINI;2018;37.9;World Bank;;;;;INDEX
Benin;BEN;Gini index;SI.POV.GINI;2021;34.4;World Bank;;;;;INDEX
Bhutan;BTN;Gini index;SI.POV.GINI;2003;40.9;World Bank;;;;;INDEX
Bhutan;BTN;Gini index;SI.POV.GINI;2007;38.1;World Bank;;;;;INDEX
Bhutan;BTN;Gini index;SI.POV.GINI;2012;38.8;World Bank;;;;;INDEX
Bhutan;BTN;Gini index;SI.POV.GINI;2017;37.4;World Bank;;;;;INDEX
Bhutan;BTN;Gini index;SI.POV.GINI;2022;28.5;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;1990;42.0;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;1992;49.1;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;1997;58.1;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;1999;58.0;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2000;61.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2001;57.4;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2002;59.3;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2004;55.0;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2005;58.5;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2006;56.7;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2007;54.5;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2008;50.8;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2009;49.2;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2011;46.1;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2012;46.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2013;47.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2014;47.8;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2015;46.7;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2016;45.2;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2017;44.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2018;42.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2019;41.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2020;43.6;World Bank;;;;;INDEX
Bolivia;BOL;Gini index;SI.POV.GINI;2021;40.9;World Bank;;;;;INDEX
Bosnia and Herzegovina;BIH;Gini index;SI.POV.GINI;2001;30.0;World Bank;;;;;INDEX
Bosnia and Herzegovina;BIH;Gini index;SI.POV.GINI;2004;34.0;World Bank;;;;;INDEX
Bosnia and Herzegovina;BIH;Gini index;SI.POV.GINI;2007;33.1;World Bank;;;;;INDEX
Bosnia and Herzegovina;BIH;Gini index;SI.POV.GINI;2011;33.0;World Bank;;;;;INDEX
Botswana;BWA;Gini index;SI.POV.GINI;1985;54.2;World Bank;;;;;INDEX
Botswana;BWA;Gini index;SI.POV.GINI;1993;60.1;World Bank;;;;;INDEX
Botswana;BWA;Gini index;SI.POV.GINI;2002;64.7;World Bank;;;;;INDEX
Botswana;BWA;Gini index;SI.POV.GINI;2009;60.5;World Bank;;;;;INDEX
Botswana;BWA;Gini index;SI.POV.GINI;2015;53.3;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1981;57.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1982;58.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1983;58.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1984;58.3;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1985;55.5;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1986;58.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1987;59.6;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1988;61.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1989;63.2;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1990;60.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1992;53.1;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1993;60.1;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1995;59.5;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1996;59.8;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1997;59.8;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1998;59.6;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;1999;59.0;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2001;58.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2002;58.1;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2003;57.6;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2004;56.5;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2005;56.3;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2006;55.6;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2007;54.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2008;54.0;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2009;53.7;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2011;52.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2012;53.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2013;52.7;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2014;52.0;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2015;51.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2016;53.4;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2017;53.3;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2018;53.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2019;53.5;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2020;48.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2021;52.9;World Bank;;;;;INDEX
Brazil;BRA;Gini index;SI.POV.GINI;2022;52.0;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2006;35.7;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2007;36.1;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2008;33.6;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2009;33.8;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2010;35.7;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2011;34.3;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2012;36.0;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2013;36.6;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2014;37.4;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2015;38.6;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2016;40.6;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2017;40.4;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2018;41.3;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2019;40.3;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2020;40.5;World Bank;;;;;INDEX
Bulgaria;BGR;Gini index;SI.POV.GINI;2021;39.0;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;1994;48.0;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;1998;49.9;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;2003;43.3;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;2009;39.8;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;2014;35.3;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;2018;43.0;World Bank;;;;;INDEX
Burkina Faso;BFA;Gini index;SI.POV.GINI;2021;37.4;World Bank;;;;;INDEX
Burundi;BDI;Gini index;SI.POV.GINI;1992;33.3;World Bank;;;;;INDEX
Burundi;BDI;Gini index;SI.POV.GINI;1998;42.1;World Bank;;;;;INDEX
Burundi;BDI;Gini index;SI.POV.GINI;2006;33.4;World Bank;;;;;INDEX
Burundi;BDI;Gini index;SI.POV.GINI;2013;38.6;World Bank;;;;;INDEX
Burundi;BDI;Gini index;SI.POV.GINI;2020;37.5;World Bank;;;;;INDEX
Cabo Verde;CPV;Gini index;SI.POV.GINI;2001;52.5;World Bank;;;;;INDEX
Cabo Verde;CPV;Gini index;SI.POV.GINI;2007;47.2;World Bank;;;;;INDEX
Cabo Verde;CPV;Gini index;SI.POV.GINI;2015;42.4;World Bank;;;;;INDEX
Cameroon;CMR;Gini index;SI.POV.GINI;1996;44.4;World Bank;;;;;INDEX
Cameroon;CMR;Gini index;SI.POV.GINI;2001;42.1;World Bank;;;;;INDEX
Cameroon;CMR;Gini index;SI.POV.GINI;2007;42.8;World Bank;;;;;INDEX
Cameroon;CMR;Gini index;SI.POV.GINI;2014;46.6;World Bank;;;;;INDEX
Cameroon;CMR;Gini index;SI.POV.GINI;2021;42.2;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1971;37.2;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1973;34.9;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1975;34.1;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1977;33.7;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1979;33.5;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1981;33.0;World Bank;;;;;INDEX
Canada;CAN;Gini index;SI.POV.GINI;1982;32.9;World Bank;;;;;INDEX
